Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
"Suffolk County (Central)--Islip Town (Northwest) PUMA, New York",137261,5826,11492,2834,1372,2214,1393,1360,2848,1774,6347,2343,4136,2760,2607,3337,4061,29676,3412,7738,14860,7562,11642,4913,576,178
"Suffolk County (Southwest)--Islip Town (South) PUMA, New York",93677,1916,1843,1008,1478,196,342,1141,427,1119,1319,1396,3086,1309,2449,2389,1523,18973,2264,4814,9744,6824,13424,12405,1749,539
"Suffolk County (Southwest)--Babylon Town (Southeast) PUMA, New York",100269,2055,1911,1744,496,827,1166,1454,2235,1576,1593,1267,901,2122,2899,2161,1680,27656,2056,5167,10142,7880,11771,7231,1449,830
"Suffolk County (West Central)--Babylon Town (Northwest) PUMA, New York",110011,3125,5116,1742,2328,1057,1432,1676,1203,2167,1342,1615,1172,2994,2090,2968,2456,28241,2109,4119,13567,6316,12133,7583,1086,374
"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",120601,5905,4857,2693,932,1629,1674,1036,2009,1664,4168,1753,2911,2489,2826,2978,4035,16692,3626,3915,12697,6092,15737,11861,4290,2132
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",135548,6502,6145,1192,1883,1539,985,1777,2036,2433,2527,2818,4518,4388,3142,6525,5711,20252,6366,5052,14211,7552,19574,6641,1194,585
"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",119483,2895,4480,2918,940,1774,752,2313,1308,2893,2677,307,2261,4476,2415,6042,3043,23374,4804,3381,12273,10473,14426,6697,621,1940
"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",125016,4766,4721,1657,1143,2248,1347,1997,2473,2295,3211,1371,2500,3386,4013,5256,3954,22041,5045,4737,14672,8102,16308,5618,1660,495
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",175591,8436,10900,2166,1949,2744,2719,3444,4157,4920,5906,4428,7972,4616,6203,9877,5827,30375,6856,6999,20038,9054,11620,3791,304,290
"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",133805,5588,5815,1549,2106,1862,1992,2711,1696,4362,6758,2569,5618,3652,7327,6629,3826,23098,4828,5671,16629,4323,10587,3201,992,416
"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",139649,8316,8526,1707,2278,2068,2875,4242,3868,3555,4805,3650,5895,5142,3756,8388,6297,22034,5785,5154,15661,6038,7850,1454,140,165
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",136657,6072,7810,2354,2614,2048,1900,2689,2190,3147,6466,2692,6006,4112,3629,5651,4030,25796,4645,4818,13630,7838,12983,3192,188,157
