Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
"Orange County (West Central)--Newport Beach, Aliso Viejo & Laguna Hills Cities PUMA; California",213556,5508,4995,1622,2524,2606,1067,1914,2430,1944,2076,1367,3390,2386,2105,3349,2308,17102,1354,7089,24960,11797,69124,26532,8693,5314
"Orange County (Central)--Irvine City (Central) PUMA, California",254424,10934,11054,3139,5280,2576,2178,3003,4121,2877,2995,4357,5577,2277,3907,2655,1784,18344,2261,8768,37487,15717,61291,28869,7248,5725
"Orange County (Northeast)--Lake Forest, Irvine (North) Cities & Silverado PUMA; California",221356,7353,9591,3763,2817,4119,2836,1786,3145,4642,3978,3051,3679,5733,5026,3310,4658,20757,2014,12374,24880,12941,49413,20491,6070,2929
"Orange County (North)--Yorba Linda, La Habra & Brea Cities PUMA; California",187542,6726,5331,4041,2753,2303,2848,1774,2936,1690,4607,2275,4262,2782,3939,5333,3094,26743,2709,10174,24928,12676,36211,12661,2747,1999
"Orange County (North Central)--Fullerton & Placentia Cities PUMA, California",195684,7409,6736,4549,1876,2337,1626,3048,2187,4296,4369,2289,4040,3687,3039,3862,4149,26404,2319,8330,30159,12605,37653,13871,2817,2027
"Orange County (Northwest)--Buena Park, Cypress & Seal Beach Cities PUMA; California",182280,5594,5440,3296,1812,2278,2788,1942,2763,2331,4745,2880,2046,3013,2575,4392,3634,20948,3739,9765,26877,11713,38398,13528,3454,2329
"Orange County (North Central)--Anaheim City (West) PUMA, California",159696,7733,9085,2128,1654,3603,1907,3184,2196,3286,5121,3113,2714,4369,3693,6630,4647,29803,2669,7852,20340,8161,20128,4164,807,709
"Orange County (North Central)--Anaheim City (East) PUMA, California",195284,7332,7782,3171,3936,1929,1962,4355,2358,4174,10394,3792,3943,5120,3331,6592,4746,34539,2885,9126,26208,11910,24502,8306,1772,1119
"Orange County (Central)--Orange & Villa Park Cities PUMA, California",142264,3612,5509,1885,2581,886,2002,2018,1505,2350,3498,1656,1764,3305,2449,3096,3158,20191,782,8512,21950,9409,27239,9458,2373,1076
"Orange County (Northwest)--Westminster, Stanton & Garden Grove (West) Cities PUMA; California",165012,3887,10786,2603,2049,2012,2102,2125,2843,3494,4818,3223,3243,5874,3628,5035,6481,25597,3027,6658,21175,11766,24226,6138,1584,638
"Orange County (Northwest)--Garden Grove City (East) PUMA, California",165350,5289,12677,1485,1862,1843,1305,2434,1289,2638,6312,2210,4093,5167,4857,3746,5756,33804,2819,7609,25617,9205,18424,3319,694,896
"Orange County (Northwest)--Huntington Beach City PUMA, California",198940,5145,4903,4122,1468,1824,2900,2518,2122,3230,2435,2891,3011,4247,2971,4138,3604,25530,2942,9377,27331,13300,43798,17509,5862,1762
"Orange County (Southeast)--Rancho Santa Margarita City (East) & Ladera Ranch PUMA, California",109429,4587,3050,2879,1420,1999,880,1720,921,2447,1317,2140,1901,2101,2532,2589,1118,8966,552,5001,11163,4283,29977,11549,3136,1201
"Orange County (Central)--Santa Ana City (West) PUMA, California",150263,5020,11155,1357,1627,2410,3504,2181,2138,3595,8532,3055,3268,6855,3287,5051,8447,23373,3003,8388,18323,7037,13255,4032,934,436
"Orange County (Central)--Santa Ana City (East) PUMA, California",174176,9672,12628,2471,3965,2295,3290,3095,5433,4203,11413,4327,4591,8601,4510,4667,6769,27665,1918,6349,21284,5082,15025,4002,279,642
"Orange County (Central)--Costa Mesa & Fountain Valley Cities PUMA, California",181608,4884,5034,2634,2164,1365,3108,1457,1920,2810,4011,3185,4703,2798,3545,3582,3265,20979,1764,8229,26548,10700,42875,12512,5833,1703
